FID;POINT_X;POINT_Y;Depth
0;620890.099999999976717;9759824.000000000000000;-1.3
1;620922.400000000023283;9759843.199999999254942;-0.8
2;620911.400000000023283;9759824.800000000745058;-2.5
3;620894.099999999976717;9759792.400000000372529;-0.5
4;620937.300000000046566;9759809.199999999254942;-0.5
5;620926.199999999953434;9759791.400000000372529;-2.0999999
6;620928.300000000046566;9759761.400000000372529;-2.2
7;620960.900000000023283;9759769.800000000745058;-1
8;620964.500000000000000;9759732.199999999254942;-1.7
9;620993.500000000000000;9759743.400000000372529;-1.3
10;620998.000000000000000;9759714.199999999254942;-2
11;621029.699999999953434;9759691.199999999254942;-2.2
12;621052.400000000023283;9759705.300000000745058;-2.0999999
13;621062.199999999953434;9759675.199999999254942;-1.7
14;621082.500000000000000;9759678.000000000000000;-3
15;621102.599999999976717;9759682.900000000372529;-1.4
16;621091.099999999976717;9759653.900000000372529;-1.5
17;621112.400000000023283;9759643.199999999254942;-2
18;621120.099999999976717;9759623.400000000372529;-1.3
19;621152.000000000000000;9759649.000000000000000;-0.8
20;621154.800000000046566;9759628.099999999627471;-1.3
21;621122.199999999953434;9759600.099999999627471;-0.7
22;621122.199999999953434;9759568.900000000372529;-0.5
23;621141.800000000046566;9759573.800000000745058;-1.4
24;621167.900000000023283;9759570.599999999627471;-1.1
25;621149.900000000023283;9759552.099999999627471;-2.2
26;621131.300000000046566;9759543.599999999627471;-0.8
27;621129.099999999976717;9759523.400000000372529;-0.9
28;621149.099999999976717;9759523.900000000372529;-2.2
29;621171.199999999953434;9759508.800000000745058;-1
30;621150.599999999976717;9759498.599999999627471;-2.9000001
31;621131.099999999976717;9759490.400000000372529;-1.5
32;621150.300000000046566;9759468.300000000745058;-2.9000001
33;621171.599999999976717;9759457.900000000372529;-0.7
34;621147.099999999976717;9759438.500000000000000;-2.5999999
35;621169.099999999976717;9759423.599999999627471;-2.5999999
36;621184.300000000046566;9759395.400000000372529;-2.5
37;621205.900000000023283;9759381.199999999254942;-1.5
38;621202.800000000046566;9759357.900000000372529;-3.9000001
39;621223.000000000000000;9759369.599999999627471;-1.7
40;621222.699999999953434;9759346.300000000745058;-2.7
41;621251.699999999953434;9759357.699999999254942;-1.6
