FID,POINT_X,POINT_Y,Depth
0,620890.099999999976717,9759824.000000000000000,-1.3000000
1,620922.400000000023283,9759843.199999999254942,-0.8000000
2,620911.400000000023283,9759824.800000000745058,-2.5000000
3,620894.099999999976717,9759792.400000000372529,-0.5000000
4,620937.300000000046566,9759809.199999999254942,-0.5000000
5,620926.199999999953434,9759791.400000000372529,-2.0999999
6,620928.300000000046566,9759761.400000000372529,-2.2000000
7,620960.900000000023283,9759769.800000000745058,-1.0000000
8,620964.500000000000000,9759732.199999999254942,-1.7000000
9,620993.500000000000000,9759743.400000000372529,-1.3000000
10,620998.000000000000000,9759714.199999999254942,-2.0000000
11,621029.699999999953434,9759691.199999999254942,-2.2000000
12,621052.400000000023283,9759705.300000000745058,-2.0999999
13,621062.199999999953434,9759675.199999999254942,-1.7000000
14,621082.500000000000000,9759678.000000000000000,-3.0000000
15,621102.599999999976717,9759682.900000000372529,-1.4000000
16,621091.099999999976717,9759653.900000000372529,-1.5000000
17,621112.400000000023283,9759643.199999999254942,-2.0000000
18,621120.099999999976717,9759623.400000000372529,-1.3000000
19,621152.000000000000000,9759649.000000000000000,-0.8000000
20,621154.800000000046566,9759628.099999999627471,-1.3000000
21,621122.199999999953434,9759600.099999999627471,-0.7000000
22,621122.199999999953434,9759568.900000000372529,-0.5000000
23,621141.800000000046566,9759573.800000000745058,-1.4000000
24,621167.900000000023283,9759570.599999999627471,-1.1000000
25,621149.900000000023283,9759552.099999999627471,-2.2000000
26,621131.300000000046566,9759543.599999999627471,-0.8000000
27,621129.099999999976717,9759523.400000000372529,-0.9000000
28,621149.099999999976717,9759523.900000000372529,-2.2000000
29,621171.199999999953434,9759508.800000000745058,-1.0000000
30,621150.599999999976717,9759498.599999999627471,-2.9000001
31,621131.099999999976717,9759490.400000000372529,-1.5000000
32,621150.300000000046566,9759468.300000000745058,-2.9000001
33,621171.599999999976717,9759457.900000000372529,-0.7000000
34,621147.099999999976717,9759438.500000000000000,-2.5999999
35,621169.099999999976717,9759423.599999999627471,-2.5999999
36,621184.300000000046566,9759395.400000000372529,-2.5000000
37,621205.900000000023283,9759381.199999999254942,-1.5000000
38,621202.800000000046566,9759357.900000000372529,-3.9000001
39,621223.000000000000000,9759369.599999999627471,-1.7000000
40,621222.699999999953434,9759346.300000000745058,-2.7000000
41,621251.699999999953434,9759357.699999999254942,-1.6000000
42,621270.300000000046566,9759350.099999999627471,-2.0999999
43,621277.400000000023283,9759322.800000000745058,-1.2000000
44,621295.599999999976717,9759336.300000000745058,-4.0000000
45,621318.800000000046566,9759319.900000000372529,-3.3000000
46,621332.000000000000000,9759295.500000000000000,-2.0999999
47,621344.300000000046566,9759315.099999999627471,-3.0000000
48,621362.400000000023283,9759325.300000000745058,-0.9000000
49,621365.500000000000000,9759303.599999999627471,-2.8000000
50,621393.099999999976717,9759301.099999999627471,-2.5999999
51,621413.599999999976717,9759292.099999999627471,-2.5999999
52,621418.800000000046566,9759262.500000000000000,-2.2000000
53,621435.800000000046566,9759287.800000000745058,-2.7000000
54,621465.199999999953434,9759293.500000000000000,-1.5000000
55,621468.000000000000000,9759255.400000000372529,-1.3000000
56,621487.500000000000000,9759262.900000000372529,-3.4000001
57,621494.099999999976717,9759282.199999999254942,-1.6000000
58,621511.900000000023283,9759271.000000000000000,-2.8000000
59,621508.099999999976717,9759246.500000000000000,-2.9000001
60,621520.699999999953434,9759229.900000000372529,-1.2000000
61,621534.400000000023283,9759252.900000000372529,-3.0999999
62,621561.000000000000000,9759258.300000000745058,-3.0000000
63,621556.099999999976717,9759234.099999999627471,-2.8000000
64,621567.199999999953434,9759215.900000000372529,-1.3000000
65,621579.099999999976717,9759236.300000000745058,-2.9000001
66,621605.400000000023283,9759230.099999999627471,-3.0000000
67,621604.800000000046566,9759207.900000000372529,-1.8000000
68,621624.800000000046566,9759197.400000000372529,-1.3000000
69,621630.900000000023283,9759218.400000000372529,-2.9000001
70,621641.000000000000000,9759245.300000000745058,-1.2000000
71,621657.900000000023283,9759233.500000000000000,-3.0000000
72,621652.800000000046566,9759205.699999999254942,-2.9000001
73,621664.800000000046566,9759187.000000000000000,-1.0000000
74,621673.900000000023283,9759215.900000000372529,-3.0000000
75,621680.900000000023283,9759236.800000000745058,-2.0000000
76,621701.500000000000000,9759183.099999999627471,-1.2000000
77,621706.199999999953434,9759221.400000000372529,-2.5999999
78,621722.300000000046566,9759237.000000000000000,-0.9000000
79,621734.400000000023283,9759220.099999999627471,-2.4000001
80,621736.099999999976717,9759181.400000000372529,-2.3000000
81,621752.800000000046566,9759210.599999999627471,-2.7000000
82,621761.199999999953434,9759231.199999999254942,-1.2000000
83,621781.699999999953434,9759231.699999999254942,-0.8000000
84,621782.000000000000000,9759211.199999999254942,-2.7000000
85,621786.199999999953434,9759178.699999999254942,-1.7000000
86,621807.599999999976717,9759207.400000000372529,-2.5000000
87,621815.500000000000000,9759226.300000000745058,-0.3000000
88,621835.500000000000000,9759210.900000000372529,-1.0000000
89,621829.099999999976717,9759186.400000000372529,-3.7000000
90,621837.800000000046566,9759165.099999999627471,-1.2000000
91,621853.099999999976717,9759179.400000000372529,-3.4000001
92,621853.800000000046566,9759202.500000000000000,-3.4000001
93,621858.000000000000000,9759231.699999999254942,-0.5000000
94,621873.699999999953434,9759244.300000000745058,-3.0999999
95,621879.000000000000000,9759223.099999999627471,-4.9000001
96,621876.000000000000000,9759187.599999999627471,-5.5999999
97,621873.900000000023283,9759166.099999999627471,-3.0000000
98,621887.099999999976717,9759150.300000000745058,-1.4000000
99,621902.900000000023283,9759207.400000000372529,-6.0999999
100,621899.900000000023283,9759292.800000000745058,-1.0000000
101,621887.800000000046566,9759276.500000000000000,-2.0999999
102,621930.699999999953434,9759282.099999999627471,-1.0000000
103,621923.099999999976717,9759260.599999999627471,-2.5000000
104,621923.699999999953434,9759238.900000000372529,-2.9000001
105,621921.500000000000000,9759217.099999999627471,-3.4000001
106,621921.300000000046566,9759196.300000000745058,-5.0999999
107,621913.500000000000000,9759132.400000000372529,-1.3000000
108,621897.900000000023283,9759167.199999999254942,-6.1999998
109,621949.300000000046566,9759241.900000000372529,-1.6000000
110,621942.800000000046566,9759221.500000000000000,-2.9000001
111,621942.099999999976717,9759200.800000000745058,-4.4000001
112,621927.300000000046566,9759161.199999999254942,-5.5000000
113,621946.300000000046566,9759171.400000000372529,-5.0000000
